airline,source,destination,distance,departure_hour,weather,delay
GoAir,Kolkata,Hyderabad,1207,17,Fog,0
SpiceJet,Mumbai,Pune,124,20,Cloudy,0
SpiceJet,Hyderabad,Mumbai,622,15,Fog,1
SpiceJet,Chennai,Bangalore,279,20,Clear,0
Air India,Delhi,Chennai,1760,16,Cloudy,0
SpiceJet,Bangalore,Hyderabad,481,23,Cloudy,1
SpiceJet,Delhi,Kolkata,1312,12,Fog,0
GoAir,Kolkata,Mumbai,1665,22,Clear,0
SpiceJet,Kolkata,Chennai,1385,9,Fog,0
SpiceJet,Pune,Chennai,913,19,Cloudy,0
GoAir,Kolkata,Mumbai,1665,13,Cloudy,0
Indigo,Chennai,Mumbai,1033,14,Rain,1
GoAir,Pune,Chennai,913,11,Cloudy,0
GoAir,Delhi,Hyderabad,1266,8,Clear,0
SpiceJet,Mumbai,Chennai,1033,3,Clear,0
Air India,Pune,Kolkata,1577,0,Rain,0
GoAir,Kolkata,Bangalore,1572,3,Cloudy,0
Indigo,Chennai,Kolkata,1385,4,Rain,1
SpiceJet,Mumbai,Chennai,1033,15,Cloudy,0
Vistara,Kolkata,Chennai,1385,17,Clear,1
Air India,Hyderabad,Kolkata,1207,10,Rain,0
GoAir,Hyderabad,Bangalore,481,9,Clear,0
Indigo,Pune,Mumbai,124,0,Rain,0
Vistara,Hyderabad,Kolkata,1207,12,Cloudy,1
SpiceJet,Mumbai,Hyderabad,622,4,Cloudy,0
Vistara,Delhi,Kolkata,1312,8,Fog,0
Air India,Pune,Chennai,913,6,Cloudy,0
GoAir,Mumbai,Bangalore,846,9,Rain,0
SpiceJet,Kolkata,Pune,1577,5,Rain,0
SpiceJet,Bangalore,Kolkata,1572,8,Fog,1
SpiceJet,Chennai,Pune,913,3,Fog,0
Vistara,Hyderabad,Pune,500,2,Fog,1
Indigo,Hyderabad,Delhi,1266,6,Fog,0
Vistara,Bangalore,Chennai,279,16,Fog,1
Indigo,Kolkata,Bangalore,1572,5,Clear,0
Indigo,Bangalore,Chennai,279,6,Rain,1
SpiceJet,Kolkata,Hyderabad,1207,10,Fog,1
Air India,Bangalore,Kolkata,1572,1,Cloudy,0
SpiceJet,Hyderabad,Kolkata,1207,22,Fog,0
GoAir,Kolkata,Hyderabad,1207,8,Rain,0
Indigo,Mumbai,Chennai,1033,7,Rain,0
GoAir,Delhi,Kolkata,1312,10,Rain,0
SpiceJet,Delhi,Mumbai,1136,11,Fog,0
SpiceJet,Chennai,Delhi,1760,22,Rain,0
Vistara,Delhi,Bangalore,1732,9,Rain,1
SpiceJet,Mumbai,Hyderabad,622,19,Cloudy,0
Indigo,Delhi,Mumbai,1136,9,Cloudy,0
Air India,Bangalore,Mumbai,846,0,Cloudy,0
Indigo,Bangalore,Delhi,1732,15,Cloudy,0
SpiceJet,Bangalore,Chennai,279,4,Cloudy,0
GoAir,Hyderabad,Bangalore,481,10,Clear,0
SpiceJet,Hyderabad,Bangalore,481,22,Cloudy,0
Vistara,Chennai,Kolkata,1385,2,Cloudy,1
GoAir,Bangalore,Chennai,279,7,Rain,1
Indigo,Bangalore,Chennai,279,3,Cloudy,0
SpiceJet,Bangalore,Mumbai,846,2,Clear,0
SpiceJet,Pune,Chennai,913,12,Fog,1
Vistara,Mumbai,Pune,124,18,Fog,1
Air India,Pune,Bangalore,736,11,Rain,0
Vistara,Chennai,Hyderabad,507,11,Clear,1
GoAir,Pune,Mumbai,124,13,Clear,0
GoAir,Hyderabad,Kolkata,1207,11,Cloudy,0
Vistara,Mumbai,Hyderabad,622,15,Cloudy,0
Indigo,Hyderabad,Pune,500,21,Rain,0
Indigo,Pune,Delhi,1155,12,Rain,0
SpiceJet,Mumbai,Chennai,1033,15,Rain,1
SpiceJet,Chennai,Delhi,1760,8,Cloudy,0
SpiceJet,Bangalore,Mumbai,846,17,Fog,0
SpiceJet,Bangalore,Kolkata,1572,13,Clear,0
Indigo,Hyderabad,Delhi,1266,13,Cloudy,0
Vistara,Kolkata,Delhi,1312,8,Clear,0
GoAir,Pune,Mumbai,124,10,Fog,0
Indigo,Mumbai,Kolkata,1665,1,Clear,0
Indigo,Hyderabad,Bangalore,481,20,Cloudy,0
Indigo,Chennai,Hyderabad,507,22,Rain,1
SpiceJet,Mumbai,Kolkata,1665,15,Rain,1
Air India,Kolkata,Mumbai,1665,19,Rain,1
Indigo,Delhi,Hyderabad,1266,11,Fog,1
SpiceJet,Kolkata,Pune,1577,10,Cloudy,0
GoAir,Chennai,Hyderabad,507,21,Rain,1
SpiceJet,Pune,Chennai,913,16,Cloudy,0
GoAir,Kolkata,Bangalore,1572,6,Fog,1
Air India,Delhi,Chennai,1760,17,Rain,0
Vistara,Kolkata,Pune,1577,20,Clear,0
Indigo,Kolkata,Chennai,1385,11,Fog,0
Air India,Bangalore,Delhi,1732,6,Cloudy,0
SpiceJet,Delhi,Bangalore,1732,3,Rain,0
SpiceJet,Bangalore,Kolkata,1572,4,Fog,1
Vistara,Hyderabad,Pune,500,1,Clear,0
SpiceJet,Bangalore,Mumbai,846,8,Clear,1
GoAir,Mumbai,Hyderabad,622,4,Fog,0
Air India,Kolkata,Pune,1577,12,Cloudy,0
Indigo,Chennai,Bangalore,279,7,Rain,1
Indigo,Pune,Kolkata,1577,8,Cloudy,0
Indigo,Bangalore,Kolkata,1572,7,Cloudy,0
Indigo,Kolkata,Chennai,1385,22,Cloudy,0
Vistara,Pune,Mumbai,124,2,Cloudy,0
Air India,Pune,Chennai,913,7,Fog,1
SpiceJet,Chennai,Bangalore,279,5,Cloudy,0
Vistara,Pune,Bangalore,736,13,Clear,0
GoAir,Hyderabad,Pune,500,18,Fog,1
GoAir,Chennai,Delhi,1760,16,Cloudy,0
Vistara,Pune,Delhi,1155,11,Cloudy,0
Indigo,Chennai,Bangalore,279,8,Rain,1
Air India,Bangalore,Kolkata,1572,6,Clear,1
SpiceJet,Chennai,Hyderabad,507,5,Rain,0
Vistara,Chennai,Pune,913,8,Cloudy,0
Air India,Delhi,Mumbai,1136,1,Clear,0
Indigo,Mumbai,Pune,124,23,Clear,0
Air India,Chennai,Delhi,1760,18,Rain,0
Indigo,Mumbai,Pune,124,19,Fog,1
Vistara,Mumbai,Bangalore,846,0,Cloudy,0
GoAir,Chennai,Kolkata,1385,12,Clear,0
GoAir,Chennai,Bangalore,279,2,Cloudy,0
Vistara,Kolkata,Bangalore,1572,9,Cloudy,0
Air India,Chennai,Mumbai,1033,21,Clear,1
SpiceJet,Chennai,Kolkata,1385,3,Cloudy,0
Vistara,Chennai,Kolkata,1385,4,Fog,0
Indigo,Mumbai,Chennai,1033,9,Fog,0
GoAir,Hyderabad,Delhi,1266,15,Clear,0
GoAir,Bangalore,Kolkata,1572,21,Clear,0
Air India,Kolkata,Mumbai,1665,10,Cloudy,0
SpiceJet,Delhi,Bangalore,1732,1,Rain,0
GoAir,Kolkata,Hyderabad,1207,15,Fog,0
Air India,Chennai,Kolkata,1385,3,Cloudy,0
GoAir,Kolkata,Hyderabad,1207,9,Fog,1
GoAir,Delhi,Bangalore,1732,2,Cloudy,1
GoAir,Pune,Hyderabad,500,14,Fog,1
Indigo,Pune,Hyderabad,500,4,Rain,0
Vistara,Bangalore,Hyderabad,481,9,Rain,0
Air India,Delhi,Bangalore,1732,23,Cloudy,1
SpiceJet,Mumbai,Delhi,1136,17,Rain,1
Vistara,Chennai,Pune,913,23,Rain,0
GoAir,Pune,Chennai,913,4,Fog,1
Vistara,Pune,Hyderabad,500,18,Cloudy,0
GoAir,Pune,Mumbai,124,11,Cloudy,0
GoAir,Hyderabad,Delhi,1266,3,Fog,0
Indigo,Mumbai,Delhi,1136,16,Fog,1
GoAir,Mumbai,Chennai,1033,2,Fog,1
Air India,Chennai,Mumbai,1033,7,Fog,0
SpiceJet,Hyderabad,Mumbai,622,20,Rain,0
SpiceJet,Bangalore,Kolkata,1572,4,Cloudy,0
Indigo,Kolkata,Chennai,1385,19,Clear,0
GoAir,Delhi,Pune,1155,9,Fog,0
Indigo,Pune,Chennai,913,17,Fog,0
GoAir,Kolkata,Chennai,1385,0,Clear,0
Indigo,Mumbai,Bangalore,846,18,Clear,0
Air India,Hyderabad,Pune,500,20,Clear,1
Air India,Hyderabad,Chennai,507,19,Rain,0
GoAir,Delhi,Bangalore,1732,18,Clear,0
GoAir,Pune,Kolkata,1577,18,Fog,0
Air India,Bangalore,Chennai,279,13,Fog,0
SpiceJet,Pune,Mumbai,124,7,Fog,0
Air India,Chennai,Pune,913,18,Rain,1
GoAir,Chennai,Pune,913,7,Rain,1
Air India,Mumbai,Chennai,1033,9,Fog,0
GoAir,Delhi,Bangalore,1732,21,Rain,0
Vistara,Hyderabad,Bangalore,481,4,Cloudy,0
Vistara,Kolkata,Bangalore,1572,6,Rain,0
SpiceJet,Chennai,Kolkata,1385,22,Clear,0
GoAir,Chennai,Pune,913,23,Rain,1
SpiceJet,Bangalore,Chennai,279,2,Cloudy,0
GoAir,Pune,Delhi,1155,13,Clear,0
Air India,Hyderabad,Kolkata,1207,17,Rain,0
Vistara,Mumbai,Chennai,1033,23,Cloudy,1
GoAir,Hyderabad,Kolkata,1207,7,Clear,0
Indigo,Chennai,Pune,913,16,Clear,0
SpiceJet,Bangalore,Delhi,1732,7,Fog,1
SpiceJet,Hyderabad,Pune,500,4,Cloudy,0
SpiceJet,Mumbai,Chennai,1033,6,Cloudy,0
Indigo,Hyderabad,Mumbai,622,6,Fog,0
GoAir,Pune,Hyderabad,500,8,Fog,0
Air India,Mumbai,Pune,124,5,Clear,0
Indigo,Kolkata,Bangalore,1572,16,Fog,0
SpiceJet,Chennai,Bangalore,279,8,Fog,0
Air India,Pune,Chennai,913,22,Rain,0
Indigo,Bangalore,Pune,736,14,Cloudy,0
Air India,Bangalore,Mumbai,846,6,Fog,0
SpiceJet,Bangalore,Delhi,1732,22,Fog,0
GoAir,Chennai,Kolkata,1385,10,Rain,0
GoAir,Delhi,Mumbai,1136,23,Rain,1
GoAir,Mumbai,Pune,124,21,Cloudy,1
GoAir,Kolkata,Chennai,1385,12,Cloudy,0
GoAir,Pune,Chennai,913,19,Rain,0
Vistara,Chennai,Kolkata,1385,22,Cloudy,0
Air India,Chennai,Kolkata,1385,23,Cloudy,1
Air India,Delhi,Bangalore,1732,23,Fog,0
GoAir,Bangalore,Chennai,279,16,Cloudy,0
Vistara,Hyderabad,Chennai,507,3,Fog,0
Indigo,Kolkata,Pune,1577,7,Clear,0
Vistara,Delhi,Mumbai,1136,20,Fog,0
Vistara,Delhi,Hyderabad,1266,4,Cloudy,0
Vistara,Hyderabad,Mumbai,622,6,Clear,0
SpiceJet,Bangalore,Pune,736,21,Cloudy,1
Air India,Chennai,Bangalore,279,23,Rain,0
Air India,Mumbai,Delhi,1136,10,Clear,0
SpiceJet,Kolkata,Hyderabad,1207,18,Rain,0
GoAir,Hyderabad,Delhi,1266,15,Rain,0
Indigo,Hyderabad,Mumbai,622,21,Cloudy,1
Indigo,Pune,Kolkata,1577,0,Fog,1
GoAir,Kolkata,Pune,1577,20,Cloudy,0
Indigo,Hyderabad,Bangalore,481,11,Cloudy,0
GoAir,Mumbai,Bangalore,846,12,Cloudy,0
Air India,Pune,Hyderabad,500,18,Rain,0
SpiceJet,Chennai,Mumbai,1033,12,Cloudy,0
Vistara,Hyderabad,Bangalore,481,1,Cloudy,1
Indigo,Kolkata,Delhi,1312,16,Cloudy,0
GoAir,Chennai,Mumbai,1033,5,Clear,0
SpiceJet,Kolkata,Delhi,1312,22,Cloudy,0
Indigo,Mumbai,Chennai,1033,0,Rain,0
SpiceJet,Hyderabad,Pune,500,6,Clear,1
SpiceJet,Pune,Delhi,1155,14,Fog,0
GoAir,Pune,Chennai,913,14,Cloudy,0
Indigo,Pune,Hyderabad,500,23,Cloudy,0
Vistara,Chennai,Bangalore,279,23,Rain,0
Vistara,Mumbai,Hyderabad,622,17,Fog,1
SpiceJet,Hyderabad,Mumbai,622,7,Cloudy,1
Vistara,Delhi,Chennai,1760,6,Fog,0
Air India,Chennai,Mumbai,1033,11,Fog,1
Indigo,Delhi,Mumbai,1136,8,Fog,0
Air India,Pune,Hyderabad,500,1,Cloudy,0
Vistara,Chennai,Kolkata,1385,3,Fog,0
Air India,Mumbai,Chennai,1033,22,Fog,0
Indigo,Bangalore,Hyderabad,481,1,Rain,1
GoAir,Delhi,Kolkata,1312,17,Rain,0
SpiceJet,Mumbai,Hyderabad,622,5,Cloudy,0
Indigo,Bangalore,Kolkata,1572,16,Cloudy,0
Indigo,Hyderabad,Delhi,1266,22,Cloudy,0
Indigo,Hyderabad,Pune,500,18,Rain,0
Vistara,Chennai,Kolkata,1385,8,Fog,0
Indigo,Hyderabad,Mumbai,622,14,Cloudy,0
GoAir,Delhi,Bangalore,1732,16,Fog,0
SpiceJet,Chennai,Kolkata,1385,9,Fog,1
GoAir,Hyderabad,Mumbai,622,17,Clear,0
Air India,Hyderabad,Bangalore,481,18,Clear,0
Vistara,Kolkata,Pune,1577,3,Cloudy,0
Indigo,Pune,Chennai,913,4,Rain,1
SpiceJet,Bangalore,Chennai,279,14,Fog,0
SpiceJet,Chennai,Kolkata,1385,19,Rain,0
Vistara,Bangalore,Kolkata,1572,9,Rain,1
Indigo,Hyderabad,Chennai,507,19,Rain,0
Air India,Hyderabad,Mumbai,622,0,Rain,0
Air India,Pune,Mumbai,124,15,Clear,0
Air India,Pune,Mumbai,124,11,Clear,1
GoAir,Chennai,Kolkata,1385,3,Cloudy,0
Indigo,Pune,Hyderabad,500,22,Clear,0
SpiceJet,Mumbai,Hyderabad,622,21,Fog,0
Air India,Kolkata,Delhi,1312,21,Rain,0
GoAir,Delhi,Kolkata,1312,23,Clear,0
Air India,Mumbai,Delhi,1136,22,Cloudy,1
SpiceJet,Hyderabad,Kolkata,1207,7,Clear,0
GoAir,Hyderabad,Delhi,1266,15,Clear,0
GoAir,Pune,Kolkata,1577,4,Fog,0
Vistara,Hyderabad,Chennai,507,23,Cloudy,0
Air India,Chennai,Bangalore,279,7,Fog,0
Vistara,Delhi,Hyderabad,1266,3,Clear,0
Air India,Mumbai,Chennai,1033,21,Clear,0
Air India,Kolkata,Chennai,1385,11,Clear,0
Indigo,Bangalore,Kolkata,1572,8,Cloudy,0
SpiceJet,Hyderabad,Kolkata,1207,11,Cloudy,1
SpiceJet,Delhi,Kolkata,1312,7,Cloudy,0
Indigo,Pune,Bangalore,736,7,Clear,0
Air India,Kolkata,Delhi,1312,12,Fog,0
Air India,Delhi,Pune,1155,21,Rain,1
Vistara,Mumbai,Pune,124,19,Fog,1
Indigo,Chennai,Bangalore,279,12,Fog,0
SpiceJet,Hyderabad,Chennai,507,7,Clear,0
GoAir,Chennai,Pune,913,13,Clear,0
SpiceJet,Mumbai,Pune,124,5,Cloudy,0
Air India,Hyderabad,Kolkata,1207,6,Fog,0
Indigo,Bangalore,Delhi,1732,0,Cloudy,0
Indigo,Hyderabad,Bangalore,481,10,Fog,0
Vistara,Pune,Mumbai,124,10,Rain,0
Vistara,Delhi,Bangalore,1732,16,Clear,0
Indigo,Bangalore,Hyderabad,481,8,Fog,0
Indigo,Chennai,Delhi,1760,13,Cloudy,0
Air India,Pune,Chennai,913,16,Clear,0
Air India,Delhi,Mumbai,1136,6,Rain,1
SpiceJet,Hyderabad,Mumbai,622,14,Rain,1
Air India,Mumbai,Chennai,1033,11,Clear,1
GoAir,Chennai,Delhi,1760,19,Clear,1
GoAir,Chennai,Hyderabad,507,7,Fog,1
Air India,Chennai,Bangalore,279,22,Cloudy,0
GoAir,Bangalore,Kolkata,1572,8,Rain,1
Indigo,Pune,Delhi,1155,19,Clear,0
Air India,Mumbai,Kolkata,1665,0,Clear,0
GoAir,Delhi,Mumbai,1136,19,Clear,0
Vistara,Kolkata,Chennai,1385,1,Cloudy,1
Air India,Delhi,Mumbai,1136,14,Cloudy,0
GoAir,Delhi,Hyderabad,1266,17,Clear,0
Air India,Kolkata,Mumbai,1665,2,Fog,0
SpiceJet,Pune,Hyderabad,500,15,Cloudy,0
Indigo,Bangalore,Chennai,279,7,Cloudy,0
SpiceJet,Chennai,Hyderabad,507,20,Rain,0
SpiceJet,Kolkata,Hyderabad,1207,6,Rain,1
GoAir,Kolkata,Chennai,1385,0,Clear,0
SpiceJet,Mumbai,Bangalore,846,5,Rain,0
SpiceJet,Chennai,Pune,913,6,Rain,0
GoAir,Kolkata,Mumbai,1665,15,Rain,0
Air India,Kolkata,Bangalore,1572,2,Rain,0
GoAir,Mumbai,Bangalore,846,1,Clear,0
SpiceJet,Bangalore,Delhi,1732,14,Cloudy,0
GoAir,Kolkata,Pune,1577,7,Rain,0
Air India,Bangalore,Kolkata,1572,20,Rain,0
Vistara,Hyderabad,Kolkata,1207,5,Clear,0
Indigo,Pune,Kolkata,1577,20,Fog,0
SpiceJet,Hyderabad,Chennai,507,3,Fog,0
SpiceJet,Bangalore,Chennai,279,10,Cloudy,0
Vistara,Mumbai,Delhi,1136,8,Fog,0
Indigo,Pune,Bangalore,736,11,Clear,0
SpiceJet,Delhi,Chennai,1760,8,Rain,1
Vistara,Chennai,Kolkata,1385,7,Clear,0
SpiceJet,Kolkata,Delhi,1312,11,Clear,0
SpiceJet,Pune,Kolkata,1577,5,Rain,0
SpiceJet,Bangalore,Mumbai,846,14,Clear,0
Indigo,Chennai,Hyderabad,507,5,Clear,0
Indigo,Bangalore,Hyderabad,481,1,Clear,0
Air India,Pune,Delhi,1155,15,Rain,1
Vistara,Hyderabad,Mumbai,622,1,Clear,0
GoAir,Kolkata,Delhi,1312,19,Clear,0
SpiceJet,Delhi,Mumbai,1136,0,Cloudy,0
SpiceJet,Mumbai,Kolkata,1665,8,Rain,0
Vistara,Mumbai,Kolkata,1665,17,Cloudy,0
SpiceJet,Bangalore,Kolkata,1572,6,Cloudy,0
Indigo,Mumbai,Kolkata,1665,21,Cloudy,0
GoAir,Hyderabad,Chennai,507,9,Rain,1
Vistara,Kolkata,Chennai,1385,16,Fog,0
GoAir,Pune,Chennai,913,1,Rain,0
GoAir,Pune,Kolkata,1577,20,Clear,0
Indigo,Kolkata,Mumbai,1665,1,Clear,1
Air India,Hyderabad,Kolkata,1207,11,Clear,0
SpiceJet,Hyderabad,Pune,500,15,Fog,1
Indigo,Kolkata,Mumbai,1665,1,Clear,0
Air India,Chennai,Delhi,1760,7,Fog,0
Indigo,Bangalore,Mumbai,846,10,Clear,0
SpiceJet,Hyderabad,Kolkata,1207,10,Fog,1
SpiceJet,Chennai,Bangalore,279,18,Fog,0
Indigo,Chennai,Kolkata,1385,17,Rain,0
GoAir,Delhi,Chennai,1760,8,Fog,0
SpiceJet,Hyderabad,Delhi,1266,2,Cloudy,0
Indigo,Chennai,Hyderabad,507,3,Cloudy,0
Indigo,Bangalore,Chennai,279,13,Fog,1
Vistara,Bangalore,Chennai,279,6,Rain,0
Air India,Delhi,Bangalore,1732,2,Cloudy,0
SpiceJet,Pune,Delhi,1155,0,Fog,0
Air India,Hyderabad,Bangalore,481,1,Clear,0
Indigo,Delhi,Mumbai,1136,4,Rain,0
SpiceJet,Chennai,Mumbai,1033,16,Fog,0
SpiceJet,Delhi,Hyderabad,1266,11,Clear,0
SpiceJet,Hyderabad,Pune,500,16,Cloudy,0
SpiceJet,Bangalore,Chennai,279,22,Cloudy,1
Vistara,Hyderabad,Mumbai,622,23,Cloudy,0
Indigo,Mumbai,Chennai,1033,22,Fog,0
Vistara,Bangalore,Pune,736,0,Cloudy,0
Indigo,Bangalore,Chennai,279,6,Rain,1
Indigo,Pune,Delhi,1155,1,Rain,1
GoAir,Kolkata,Pune,1577,9,Fog,1
Indigo,Mumbai,Chennai,1033,21,Clear,0
Indigo,Hyderabad,Bangalore,481,21,Clear,0
Air India,Mumbai,Chennai,1033,7,Clear,0
Vistara,Mumbai,Bangalore,846,1,Cloudy,0
GoAir,Kolkata,Bangalore,1572,14,Fog,1
SpiceJet,Hyderabad,Bangalore,481,14,Clear,0
SpiceJet,Delhi,Pune,1155,9,Rain,1
Air India,Kolkata,Hyderabad,1207,17,Clear,0
Indigo,Chennai,Pune,913,8,Cloudy,0
SpiceJet,Chennai,Mumbai,1033,10,Clear,0
SpiceJet,Kolkata,Mumbai,1665,18,Clear,0
Indigo,Kolkata,Mumbai,1665,2,Fog,1
Vistara,Hyderabad,Pune,500,10,Rain,0
SpiceJet,Bangalore,Chennai,279,10,Fog,1
Indigo,Kolkata,Delhi,1312,21,Clear,0
Vistara,Pune,Mumbai,124,13,Clear,1
Indigo,Hyderabad,Mumbai,622,11,Clear,0
SpiceJet,Hyderabad,Chennai,507,9,Rain,0
GoAir,Kolkata,Hyderabad,1207,12,Fog,0
Air India,Delhi,Pune,1155,10,Cloudy,1
Air India,Kolkata,Chennai,1385,22,Clear,0
Vistara,Mumbai,Kolkata,1665,4,Cloudy,0
Indigo,Kolkata,Bangalore,1572,15,Rain,0
Air India,Pune,Mumbai,124,10,Cloudy,0
GoAir,Bangalore,Chennai,279,13,Fog,0
Vistara,Pune,Delhi,1155,7,Cloudy,0
Air India,Bangalore,Hyderabad,481,15,Fog,0
Indigo,Mumbai,Hyderabad,622,9,Fog,0
Vistara,Chennai,Bangalore,279,18,Rain,1
GoAir,Bangalore,Delhi,1732,0,Rain,0
Vistara,Bangalore,Chennai,279,18,Fog,0
Air India,Mumbai,Delhi,1136,16,Cloudy,0
Indigo,Mumbai,Chennai,1033,8,Cloudy,0
SpiceJet,Kolkata,Pune,1577,2,Clear,0
Indigo,Delhi,Chennai,1760,13,Cloudy,0
SpiceJet,Mumbai,Delhi,1136,20,Cloudy,0
Vistara,Mumbai,Pune,124,11,Cloudy,0
GoAir,Mumbai,Delhi,1136,12,Rain,0
GoAir,Kolkata,Chennai,1385,9,Rain,0
GoAir,Kolkata,Pune,1577,3,Fog,0
SpiceJet,Pune,Hyderabad,500,22,Rain,1
Vistara,Bangalore,Hyderabad,481,23,Clear,0
SpiceJet,Mumbai,Hyderabad,622,15,Rain,1
Vistara,Delhi,Mumbai,1136,11,Clear,0
Air India,Bangalore,Mumbai,846,19,Fog,0
GoAir,Chennai,Kolkata,1385,16,Clear,0
Indigo,Kolkata,Bangalore,1572,14,Fog,0
SpiceJet,Kolkata,Mumbai,1665,19,Cloudy,0
Vistara,Chennai,Hyderabad,507,7,Rain,1
Vistara,Kolkata,Hyderabad,1207,10,Fog,0
GoAir,Pune,Chennai,913,12,Clear,0
GoAir,Bangalore,Chennai,279,0,Cloudy,0
Air India,Delhi,Chennai,1760,1,Cloudy,0
GoAir,Bangalore,Pune,736,9,Rain,0
Air India,Pune,Kolkata,1577,19,Rain,0
Vistara,Kolkata,Pune,1577,4,Rain,0
Air India,Kolkata,Delhi,1312,17,Cloudy,1
SpiceJet,Bangalore,Delhi,1732,13,Cloudy,0
Air India,Bangalore,Pune,736,19,Rain,0
SpiceJet,Chennai,Pune,913,9,Clear,0
SpiceJet,Hyderabad,Delhi,1266,19,Rain,1
Indigo,Mumbai,Bangalore,846,22,Cloudy,1
GoAir,Kolkata,Bangalore,1572,8,Clear,0
Air India,Hyderabad,Chennai,507,21,Rain,1
Vistara,Hyderabad,Mumbai,622,0,Fog,1
Air India,Bangalore,Mumbai,846,12,Clear,0
Indigo,Pune,Kolkata,1577,19,Cloudy,0
Vistara,Bangalore,Hyderabad,481,11,Rain,1
SpiceJet,Kolkata,Mumbai,1665,20,Clear,0
Vistara,Mumbai,Pune,124,1,Cloudy,0
GoAir,Mumbai,Delhi,1136,1,Cloudy,0
SpiceJet,Hyderabad,Chennai,507,8,Cloudy,0
Vistara,Hyderabad,Chennai,507,9,Clear,0
Air India,Mumbai,Bangalore,846,13,Fog,0
Indigo,Bangalore,Delhi,1732,1,Fog,1
Air India,Pune,Hyderabad,500,18,Cloudy,0
Air India,Kolkata,Delhi,1312,21,Clear,1
SpiceJet,Chennai,Kolkata,1385,2,Clear,0
Vistara,Hyderabad,Mumbai,622,0,Clear,0
Vistara,Kolkata,Chennai,1385,17,Cloudy,0
Vistara,Kolkata,Pune,1577,20,Cloudy,0
SpiceJet,Delhi,Bangalore,1732,8,Fog,0
Vistara,Bangalore,Pune,736,13,Clear,0
SpiceJet,Pune,Bangalore,736,11,Cloudy,0
SpiceJet,Pune,Delhi,1155,10,Cloudy,1
Indigo,Hyderabad,Pune,500,23,Rain,1
GoAir,Bangalore,Chennai,279,22,Rain,1
Indigo,Chennai,Hyderabad,507,0,Rain,0
Vistara,Mumbai,Hyderabad,622,4,Clear,0
Vistara,Hyderabad,Pune,500,21,Fog,1
Indigo,Delhi,Pune,1155,10,Cloudy,0
SpiceJet,Chennai,Bangalore,279,7,Clear,0
SpiceJet,Hyderabad,Bangalore,481,20,Clear,0
GoAir,Chennai,Bangalore,279,6,Rain,0
SpiceJet,Bangalore,Mumbai,846,2,Fog,1
Indigo,Chennai,Hyderabad,507,6,Cloudy,0
SpiceJet,Pune,Bangalore,736,2,Fog,1
Vistara,Mumbai,Hyderabad,622,12,Cloudy,0
Air India,Mumbai,Pune,124,9,Cloudy,0
Indigo,Delhi,Pune,1155,17,Cloudy,0
Vistara,Delhi,Pune,1155,15,Fog,0
Indigo,Hyderabad,Delhi,1266,22,Rain,1
Air India,Hyderabad,Chennai,507,14,Fog,0
GoAir,Chennai,Delhi,1760,18,Rain,0
Indigo,Pune,Hyderabad,500,15,Fog,0
GoAir,Pune,Delhi,1155,1,Clear,0
Air India,Chennai,Kolkata,1385,2,Clear,0
Vistara,Delhi,Hyderabad,1266,15,Rain,0
SpiceJet,Mumbai,Delhi,1136,11,Cloudy,0
Vistara,Chennai,Kolkata,1385,8,Rain,1
SpiceJet,Mumbai,Delhi,1136,8,Clear,0
Air India,Hyderabad,Delhi,1266,5,Cloudy,0
SpiceJet,Chennai,Delhi,1760,19,Fog,1
Air India,Pune,Chennai,913,13,Clear,0
SpiceJet,Mumbai,Kolkata,1665,1,Clear,0
Indigo,Kolkata,Hyderabad,1207,20,Cloudy,1
Indigo,Chennai,Bangalore,279,2,Cloudy,1
Indigo,Hyderabad,Pune,500,15,Fog,1
SpiceJet,Delhi,Bangalore,1732,18,Clear,0
Indigo,Chennai,Pune,913,18,Clear,1
SpiceJet,Mumbai,Bangalore,846,2,Cloudy,1
GoAir,Bangalore,Mumbai,846,22,Clear,1
Indigo,Bangalore,Mumbai,846,20,Cloudy,0
GoAir,Pune,Mumbai,124,5,Rain,0
GoAir,Mumbai,Bangalore,846,18,Rain,1
Air India,Chennai,Kolkata,1385,9,Cloudy,0
Air India,Bangalore,Kolkata,1572,9,Cloudy,0
Indigo,Delhi,Chennai,1760,18,Cloudy,0
Air India,Bangalore,Mumbai,846,2,Cloudy,0
Vistara,Bangalore,Kolkata,1572,5,Rain,0
GoAir,Chennai,Mumbai,1033,15,Cloudy,0
Air India,Chennai,Kolkata,1385,10,Fog,0
SpiceJet,Chennai,Delhi,1760,6,Rain,1
SpiceJet,Bangalore,Chennai,279,14,Cloudy,0
Indigo,Chennai,Hyderabad,507,2,Fog,0
SpiceJet,Bangalore,Chennai,279,4,Cloudy,0
