Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,Churn
29,Male,34,26.74,911.86,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
68,Male,65,58.74,3822.86,Month-to-month,Fiber optic,Mailed check,No,Yes,1
39,Female,55,105.18,5747.47,Month-to-month,Fiber optic,Electronic check,No,No,1
39,Female,43,60.39,2634.28,Month-to-month,Fiber optic,Electronic check,Yes,Yes,0
63,Female,30,27.76,862.76,Month-to-month,No,Bank transfer,Yes,Yes,0
47,Female,17,74.25,1195.45,Month-to-month,DSL,Bank transfer,Yes,No,1
55,Male,26,106.17,2740.96,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0
55,Male,8,79.03,636.89,Month-to-month,No,Credit card,No,No,1
62,Male,47,42.63,1976.89,One year,DSL,Mailed check,Yes,Yes,0
68,Male,46,58.42,2719.19,Month-to-month,DSL,Electronic check,Yes,No,1
25,Female,68,65.01,4417.34,Two year,Fiber optic,Credit card,Yes,Yes,0
44,Male,33,77.93,2580.14,Two year,DSL,Credit card,No,No,0
44,Male,1,95.94,95.94,Month-to-month,DSL,Credit card,Yes,No,1
51,Female,19,29.89,468.25,One year,No,Mailed check,No,Yes,0
38,Male,31,108.97,3275.55,Two year,Fiber optic,Electronic check,Yes,Yes,0
47,Male,14,21.23,326.7,Two year,DSL,Bank transfer,No,Yes,0
50,Male,53,57.01,3034.88,One year,No,Mailed check,Yes,No,0
45,Male,48,22.74,1113.45,Month-to-month,No,Bank transfer,No,No,0
64,Male,69,59.3,4098.42,One year,Fiber optic,Credit card,Yes,No,0
50,Male,62,72.58,4510.69,One year,DSL,Credit card,No,Yes,0
22,Female,66,71.17,4745.67,One year,No,Mailed check,No,Yes,0
65,Female,64,36.56,2362.07,Month-to-month,Fiber optic,Electronic check,Yes,No,0
36,Male,70,84.57,5971.95,Two year,Fiber optic,Credit card,No,Yes,0
21,Male,63,24.48,1550.81,Two year,No,Bank transfer,No,No,0
52,Female,33,96.19,3159.25,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
66,Male,41,114.66,4710.77,Month-to-month,DSL,Mailed check,Yes,Yes,0
34,Male,48,53.98,2549.23,Month-to-month,Fiber optic,Bank transfer,No,No,1
61,Male,13,71.72,913.37,Two year,DSL,Electronic check,Yes,Yes,0
45,Female,31,57.89,1803.47,One year,Fiber optic,Credit card,Yes,Yes,0
47,Male,68,20.67,1413.78,One year,Fiber optic,Bank transfer,Yes,Yes,0
46,Female,4,58.59,229.04,Month-to-month,DSL,Bank transfer,No,Yes,0
63,Male,19,99.17,1814.82,One year,Fiber optic,Credit card,No,Yes,0
23,Female,70,79.6,5603.82,Month-to-month,DSL,Mailed check,No,No,0
52,Female,13,30.13,433.4,Month-to-month,DSL,Bank transfer,No,Yes,1
58,Male,23,104.71,2490.51,One year,Fiber optic,Mailed check,No,No,0
54,Female,1,73.11,95.2,Two year,DSL,Mailed check,No,Yes,1
41,Male,54,104.17,5625.25,Two year,Fiber optic,Bank transfer,No,Yes,0
46,Female,71,78.02,5488.77,Two year,DSL,Electronic check,Yes,No,0
66,Male,15,75.97,1214.15,Month-to-month,Fiber optic,Mailed check,No,No,0
63,Male,65,30.53,1996.84,Month-to-month,No,Bank transfer,No,Yes,0
48,Female,71,36.74,2618.21,One year,Fiber optic,Mailed check,Yes,Yes,1
52,Male,15,117.2,1745.3,Two year,Fiber optic,Credit card,Yes,No,1
50,Male,21,42.85,883.95,Month-to-month,No,Electronic check,Yes,No,1
69,Female,19,117.75,2271.66,Month-to-month,DSL,Electronic check,No,No,1
38,Male,60,73.19,4340.33,Month-to-month,DSL,Credit card,Yes,No,0
49,Male,33,33.58,1189.41,One year,Fiber optic,Credit card,No,Yes,0
40,Female,49,29.93,1536.95,Month-to-month,DSL,Mailed check,No,Yes,1
50,Female,35,40.89,1413.45,Month-to-month,No,Credit card,No,Yes,1
20,Male,44,112.56,4909.45,Month-to-month,DSL,Electronic check,Yes,Yes,0
35,Male,11,61.42,574.86,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
42,Female,66,59.54,3867.07,Two year,Fiber optic,Bank transfer,No,No,0
59,Female,46,51.32,2397.22,Month-to-month,DSL,Bank transfer,No,No,1
48,Male,9,34.71,328.16,One year,Fiber optic,Mailed check,No,No,0
20,Female,3,68.79,231.05,One year,DSL,Electronic check,Yes,Yes,0
57,Male,26,33.0,765.72,Two year,Fiber optic,Bank transfer,No,No,0
63,Male,48,103.55,4950.61,Month-to-month,DSL,Credit card,Yes,Yes,0
41,Male,66,57.04,3833.0,Two year,No,Bank transfer,No,Yes,1
67,Male,70,57.48,4018.8,One year,No,Bank transfer,Yes,Yes,0
49,Male,28,67.4,1823.59,Two year,DSL,Mailed check,No,No,0
64,Female,26,64.41,1669.08,Two year,DSL,Credit card,Yes,Yes,0
39,Female,25,119.49,2948.7,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
40,Female,12,74.54,911.16,Month-to-month,DSL,Credit card,Yes,No,0
19,Female,5,28.82,145.13,Month-to-month,No,Mailed check,Yes,Yes,0
44,Male,48,80.69,3900.28,One year,Fiber optic,Credit card,Yes,No,0
59,Male,37,35.16,1240.02,Month-to-month,DSL,Credit card,Yes,Yes,0
19,Male,44,23.09,993.52,Month-to-month,No,Bank transfer,No,No,0
43,Male,15,117.07,1810.57,Month-to-month,Fiber optic,Bank transfer,No,Yes,1
34,Female,43,97.35,4118.34,Month-to-month,No,Credit card,No,Yes,1
57,Male,48,118.01,5614.32,Month-to-month,No,Electronic check,No,No,1
50,Male,70,67.79,4755.26,Month-to-month,DSL,Electronic check,Yes,Yes,0
26,Female,46,73.23,3382.92,Month-to-month,DSL,Credit card,No,No,0
60,Female,43,36.83,1559.25,Month-to-month,No,Electronic check,Yes,Yes,1
65,Female,21,44.69,924.57,Month-to-month,No,Mailed check,Yes,No,1
56,Female,23,103.85,2415.21,Month-to-month,DSL,Bank transfer,Yes,Yes,0
46,Male,47,55.62,2656.62,Two year,No,Mailed check,No,Yes,0
59,Male,15,102.68,1486.74,One year,Fiber optic,Bank transfer,Yes,Yes,0
43,Female,25,90.9,2290.72,Month-to-month,DSL,Electronic check,No,No,1
52,Male,36,37.72,1433.52,Month-to-month,No,Electronic check,No,No,0
67,Male,51,70.74,3601.95,Two year,DSL,Credit card,No,No,1
42,Male,15,87.74,1262.11,Two year,No,Electronic check,No,No,0
41,Female,68,43.5,2901.7,Two year,DSL,Electronic check,No,No,0
30,Male,21,103.07,2156.43,One year,Fiber optic,Credit card,Yes,Yes,1
24,Female,13,74.48,1020.03,Month-to-month,DSL,Credit card,Yes,Yes,1
53,Male,19,36.52,691.84,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
62,Male,34,78.3,2671.66,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
37,Male,68,119.97,8108.14,Two year,DSL,Bank transfer,No,Yes,0
18,Female,52,35.05,1871.76,One year,Fiber optic,Bank transfer,Yes,No,0
25,Male,27,101.68,2688.08,One year,Fiber optic,Mailed check,Yes,Yes,0
63,Female,29,40.73,1155.95,Month-to-month,DSL,Electronic check,Yes,No,1
33,Female,28,98.24,2782.22,Two year,No,Electronic check,Yes,Yes,1
31,Female,35,93.46,3169.13,Month-to-month,DSL,Mailed check,Yes,No,1
29,Male,8,50.05,409.1,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
68,Male,16,52.58,789.33,Month-to-month,Fiber optic,Electronic check,Yes,No,0
40,Male,36,99.25,3573.83,One year,Fiber optic,Bank transfer,Yes,Yes,0
32,Male,30,66.14,1966.6,Month-to-month,DSL,Mailed check,Yes,Yes,0
45,Female,18,93.08,1780.73,Two year,Fiber optic,Credit card,Yes,Yes,0
51,Female,2,34.8,49.94,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
19,Female,49,105.26,5249.87,One year,Fiber optic,Electronic check,Yes,No,0
49,Male,4,91.09,393.71,One year,No,Credit card,Yes,No,1
40,Female,7,110.69,734.76,Month-to-month,Fiber optic,Bank transfer,No,No,0
39,Male,39,33.24,1312.9,Two year,DSL,Bank transfer,Yes,No,0
68,Female,13,79.3,1015.68,One year,DSL,Credit card,Yes,Yes,0
42,Male,31,79.91,2489.32,One year,DSL,Credit card,Yes,No,0
39,Male,71,55.35,3894.16,Two year,DSL,Credit card,Yes,Yes,0
39,Female,63,65.85,4233.06,One year,DSL,Electronic check,Yes,No,0
66,Female,56,23.8,1379.07,Month-to-month,DSL,Electronic check,Yes,No,0
69,Female,42,94.59,3974.37,One year,DSL,Bank transfer,No,No,0
59,Female,61,74.93,4657.19,Month-to-month,DSL,Bank transfer,No,Yes,0
23,Male,42,25.77,1086.05,Month-to-month,DSL,Mailed check,No,Yes,1
32,Female,56,88.08,4987.36,Month-to-month,DSL,Electronic check,Yes,No,0
60,Female,36,66.68,2402.4,One year,DSL,Bank transfer,Yes,No,0
54,Female,68,23.45,1614.29,One year,Fiber optic,Credit card,Yes,No,0
50,Male,7,116.96,814.65,Month-to-month,Fiber optic,Credit card,No,Yes,1
25,Male,54,114.91,6209.91,One year,DSL,Electronic check,Yes,Yes,0
61,Female,1,71.29,79.82,Two year,Fiber optic,Credit card,Yes,Yes,1
61,Male,44,29.37,1258.79,Month-to-month,DSL,Mailed check,No,No,0
22,Female,45,95.46,4275.65,Month-to-month,DSL,Bank transfer,No,Yes,1
56,Male,47,69.19,3241.09,One year,DSL,Bank transfer,Yes,No,0
21,Male,13,50.24,664.61,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
23,Male,22,69.14,1519.55,One year,Fiber optic,Electronic check,Yes,No,0
62,Male,21,72.24,1575.69,Month-to-month,DSL,Credit card,Yes,No,1
49,Female,9,76.27,728.79,Month-to-month,DSL,Mailed check,No,Yes,0
69,Female,26,64.12,1657.3,One year,No,Electronic check,Yes,No,0
47,Female,9,80.58,794.31,One year,DSL,Bank transfer,Yes,No,1
64,Male,15,111.87,1771.7,Two year,DSL,Mailed check,No,No,1
52,Female,10,56.23,460.11,Two year,No,Bank transfer,Yes,Yes,0
57,Female,42,92.57,3934.55,One year,No,Bank transfer,Yes,No,1
69,Female,24,109.45,2592.15,One year,Fiber optic,Electronic check,No,Yes,1
33,Male,49,65.6,3254.44,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
30,Male,26,64.35,1735.01,One year,DSL,Mailed check,Yes,No,0
67,Male,37,80.21,2923.92,Month-to-month,DSL,Bank transfer,No,Yes,1
59,Female,68,79.14,5288.9,Two year,Fiber optic,Credit card,No,No,0
47,Female,50,100.66,5074.77,Month-to-month,DSL,Bank transfer,Yes,Yes,0
36,Female,24,67.65,1630.37,One year,Fiber optic,Electronic check,No,No,0
34,Male,19,119.61,2189.17,Month-to-month,No,Mailed check,Yes,Yes,0
36,Male,60,25.95,1683.48,One year,No,Electronic check,Yes,No,0
45,Female,39,20.32,823.7,Two year,DSL,Credit card,Yes,No,0
43,Male,18,84.02,1545.87,Month-to-month,Fiber optic,Bank transfer,Yes,No,0
54,Male,19,49.84,1015.25,Two year,Fiber optic,Electronic check,No,No,1
43,Male,36,44.04,1556.4,Month-to-month,No,Electronic check,Yes,Yes,0
40,Male,55,51.19,2821.97,One year,DSL,Electronic check,Yes,Yes,0
26,Female,69,45.6,3080.43,Two year,DSL,Electronic check,Yes,No,0
29,Male,47,23.08,1054.36,Month-to-month,DSL,Credit card,Yes,Yes,1
18,Male,49,117.15,5759.63,Two year,DSL,Credit card,No,No,0
18,Male,33,42.07,1305.05,Month-to-month,DSL,Bank transfer,No,No,0
64,Male,21,93.4,1929.59,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
51,Female,22,96.26,2071.32,Two year,Fiber optic,Mailed check,Yes,Yes,1
49,Female,48,112.93,5427.74,Month-to-month,DSL,Credit card,No,No,0
65,Male,37,23.05,881.59,Two year,Fiber optic,Electronic check,No,Yes,0
42,Male,15,107.2,1645.11,Two year,DSL,Electronic check,Yes,No,0
57,Male,35,72.72,2595.14,Month-to-month,No,Mailed check,No,Yes,1
62,Male,71,83.25,5979.36,One year,No,Electronic check,Yes,Yes,0
18,Male,32,84.45,2732.76,Month-to-month,No,Mailed check,No,Yes,0
33,Male,11,101.98,1216.15,Month-to-month,No,Bank transfer,No,Yes,1
56,Female,10,53.34,539.38,Month-to-month,DSL,Credit card,No,Yes,0
22,Male,57,93.31,5310.0,Month-to-month,DSL,Mailed check,No,No,1
39,Female,25,72.86,1851.87,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
46,Female,2,99.34,187.86,Month-to-month,No,Mailed check,Yes,Yes,1
20,Male,64,119.05,7711.83,Two year,DSL,Bank transfer,No,No,1
29,Female,35,40.07,1459.0,Two year,DSL,Electronic check,Yes,No,0
43,Female,7,119.46,873.73,One year,No,Bank transfer,No,No,1
33,Female,18,28.98,528.21,One year,DSL,Bank transfer,No,Yes,0
68,Female,67,20.23,1335.04,Two year,Fiber optic,Mailed check,No,Yes,0
54,Female,42,24.42,1060.71,Month-to-month,Fiber optic,Bank transfer,No,No,1
39,Female,39,54.18,2056.67,One year,DSL,Electronic check,No,No,0
46,Male,41,83.29,3491.61,Two year,DSL,Bank transfer,No,No,0
31,Female,24,26.9,636.72,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
45,Female,60,20.57,1249.46,One year,Fiber optic,Mailed check,Yes,Yes,0
22,Female,46,113.71,5185.18,Two year,No,Bank transfer,No,Yes,1
64,Male,19,102.19,1977.76,Two year,DSL,Credit card,Yes,Yes,1
66,Female,68,100.92,6839.87,One year,DSL,Mailed check,No,Yes,0
47,Male,42,108.44,4586.94,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0
63,Female,32,90.0,2917.87,Month-to-month,Fiber optic,Electronic check,Yes,No,0
69,Male,39,30.44,1154.78,Month-to-month,DSL,Electronic check,Yes,Yes,0
22,Male,36,59.91,2100.58,One year,Fiber optic,Electronic check,No,No,0
29,Female,36,92.31,3399.75,Month-to-month,DSL,Electronic check,Yes,No,0
33,Female,3,48.03,134.48,Two year,DSL,Credit card,No,No,0
43,Male,8,88.74,721.16,Month-to-month,DSL,Mailed check,No,Yes,0
43,Female,70,22.45,1595.77,Month-to-month,DSL,Bank transfer,No,No,1
65,Male,41,50.61,2012.32,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
38,Male,68,74.91,5117.01,One year,Fiber optic,Electronic check,Yes,No,0
56,Male,13,83.21,1086.69,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
53,Male,49,77.7,3775.12,Month-to-month,No,Bank transfer,No,No,1
50,Male,60,89.78,5328.97,Month-to-month,DSL,Electronic check,No,Yes,1
47,Female,2,20.61,71.51,Month-to-month,DSL,Bank transfer,Yes,No,1
54,Male,60,30.09,1861.79,Month-to-month,DSL,Mailed check,No,No,1
40,Male,5,106.89,543.38,Two year,DSL,Mailed check,Yes,No,1
27,Female,44,88.17,3807.76,One year,Fiber optic,Mailed check,Yes,No,0
22,Male,27,31.29,791.96,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
53,Female,32,104.21,3313.11,Two year,Fiber optic,Bank transfer,Yes,Yes,0
51,Female,21,44.22,1006.85,Two year,DSL,Electronic check,No,Yes,0
69,Female,8,67.83,530.3,One year,DSL,Electronic check,Yes,No,0
48,Male,50,34.52,1702.57,One year,Fiber optic,Electronic check,Yes,No,0
27,Male,67,91.01,6014.0,Two year,DSL,Electronic check,Yes,No,0
36,Male,44,86.69,3781.53,Two year,Fiber optic,Credit card,Yes,No,0
49,Female,58,41.11,2322.73,One year,No,Electronic check,Yes,No,0
18,Male,3,106.34,268.86,Month-to-month,DSL,Credit card,Yes,No,1
22,Female,70,60.13,4215.1,One year,Fiber optic,Bank transfer,Yes,Yes,0
62,Male,2,49.25,78.44,One year,Fiber optic,Mailed check,No,Yes,1
21,Female,44,35.23,1635.09,Month-to-month,DSL,Electronic check,No,Yes,0
33,Male,2,46.62,147.14,Month-to-month,Fiber optic,Mailed check,No,Yes,0
41,Male,35,22.2,746.56,Two year,DSL,Bank transfer,No,Yes,0
33,Male,30,78.33,2304.06,One year,DSL,Bank transfer,Yes,Yes,0
19,Female,8,104.22,902.89,Month-to-month,Fiber optic,Electronic check,No,Yes,1
66,Female,22,74.9,1730.8,One year,No,Bank transfer,No,Yes,0
45,Male,44,41.93,1735.21,Month-to-month,DSL,Mailed check,No,No,0
49,Male,58,23.37,1360.1,Month-to-month,DSL,Electronic check,Yes,No,0
44,Female,36,41.46,1479.97,One year,No,Credit card,No,No,0
37,Female,69,61.61,4283.55,Month-to-month,No,Electronic check,No,No,0
41,Female,31,95.96,3071.89,Month-to-month,Fiber optic,Mailed check,Yes,No,0
29,Male,47,38.78,1798.46,Two year,DSL,Electronic check,No,No,0
67,Female,55,91.98,4955.87,Month-to-month,No,Electronic check,Yes,No,1
52,Male,62,106.69,6643.73,Month-to-month,DSL,Mailed check,No,Yes,1
50,Female,30,65.39,2031.2,Two year,Fiber optic,Electronic check,Yes,Yes,0
50,Male,55,102.14,5602.51,One year,DSL,Electronic check,No,No,0
68,Female,16,75.47,1172.27,One year,Fiber optic,Mailed check,No,Yes,0
60,Female,12,83.71,982.66,Two year,DSL,Bank transfer,No,Yes,0
54,Female,17,72.63,1277.22,Month-to-month,Fiber optic,Mailed check,Yes,Yes,1
29,Female,16,66.32,1038.4,One year,DSL,Electronic check,No,Yes,1
20,Female,12,43.47,538.08,One year,DSL,Credit card,Yes,Yes,1
18,Male,8,50.32,403.95,Two year,Fiber optic,Credit card,Yes,No,0
50,Female,3,49.0,143.23,One year,No,Mailed check,Yes,Yes,0
57,Female,16,76.33,1256.34,One year,No,Credit card,Yes,No,1
27,Female,30,32.0,936.07,Month-to-month,DSL,Electronic check,No,No,1
60,Male,23,111.68,2547.11,Month-to-month,Fiber optic,Electronic check,No,No,1
61,Female,5,92.07,500.23,One year,Fiber optic,Mailed check,No,Yes,0
46,Male,65,60.14,3859.75,One year,DSL,Electronic check,Yes,No,0
30,Female,30,35.86,1031.79,One year,DSL,Bank transfer,No,No,0
29,Female,21,108.2,2209.18,Month-to-month,Fiber optic,Electronic check,Yes,No,0
48,Male,70,102.38,7209.05,One year,No,Mailed check,Yes,No,0
63,Female,22,92.17,2022.48,One year,Fiber optic,Bank transfer,Yes,Yes,0
19,Male,32,47.15,1443.12,Two year,Fiber optic,Bank transfer,No,No,1
68,Male,33,60.24,2030.61,One year,Fiber optic,Credit card,No,No,1
67,Female,16,30.27,456.54,Two year,DSL,Electronic check,Yes,No,0
52,Male,38,38.9,1434.62,Two year,Fiber optic,Mailed check,No,No,0
40,Female,14,98.3,1366.42,One year,Fiber optic,Credit card,No,Yes,1
34,Female,36,91.5,3367.94,One year,DSL,Credit card,Yes,No,0
43,Male,23,79.35,1805.3,Two year,No,Electronic check,Yes,No,0
25,Male,66,109.57,7260.39,One year,DSL,Electronic check,No,No,1
46,Male,2,78.33,193.01,Two year,No,Mailed check,Yes,No,1
43,Male,65,66.7,4357.66,One year,DSL,Credit card,Yes,No,0
27,Female,67,54.04,3684.23,One year,DSL,Mailed check,No,No,0
43,Female,52,114.04,5894.72,Month-to-month,DSL,Credit card,No,Yes,0
51,Male,62,28.27,1700.57,Month-to-month,Fiber optic,Credit card,Yes,No,1
68,Female,23,113.09,2547.92,Two year,DSL,Credit card,No,Yes,0
58,Female,26,102.67,2662.2,One year,Fiber optic,Electronic check,Yes,Yes,0
24,Female,68,32.99,2195.97,One year,Fiber optic,Credit card,Yes,No,0
21,Female,55,76.5,4214.88,Two year,Fiber optic,Credit card,No,Yes,0
67,Male,6,106.65,643.75,One year,DSL,Credit card,Yes,No,0
62,Male,35,77.18,2752.23,One year,Fiber optic,Bank transfer,Yes,Yes,0
28,Female,22,110.72,2450.4,One year,DSL,Electronic check,Yes,No,0
46,Male,43,114.3,4894.09,One year,Fiber optic,Bank transfer,No,Yes,0
53,Male,15,62.24,954.14,Month-to-month,DSL,Electronic check,No,Yes,1
42,Male,60,57.73,3412.29,Month-to-month,No,Mailed check,No,No,0
38,Female,12,113.63,1361.65,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
53,Female,49,87.51,4303.96,Month-to-month,Fiber optic,Mailed check,Yes,Yes,1
27,Female,42,31.6,1333.67,One year,Fiber optic,Credit card,No,Yes,0
54,Male,38,24.23,941.49,Month-to-month,DSL,Mailed check,No,Yes,1
26,Female,45,76.46,3408.5,Month-to-month,DSL,Mailed check,No,Yes,1
41,Female,35,113.02,4013.3,Month-to-month,No,Mailed check,Yes,No,0
52,Male,30,104.42,3223.71,Month-to-month,No,Mailed check,No,Yes,1
66,Female,30,87.58,2547.27,One year,DSL,Electronic check,Yes,Yes,1
52,Female,6,33.91,142.68,Two year,Fiber optic,Bank transfer,No,No,1
65,Male,67,45.42,3045.29,One year,Fiber optic,Electronic check,Yes,No,1
53,Male,7,107.55,740.02,Month-to-month,Fiber optic,Electronic check,Yes,No,0
35,Male,52,38.28,2085.38,Month-to-month,DSL,Electronic check,No,Yes,0
66,Female,14,47.84,680.75,Month-to-month,DSL,Mailed check,Yes,Yes,1
56,Female,15,32.96,564.03,One year,DSL,Electronic check,No,Yes,1
49,Female,21,87.61,1737.35,Month-to-month,No,Bank transfer,Yes,Yes,1
41,Male,35,114.4,4044.71,One year,Fiber optic,Electronic check,Yes,No,0
40,Male,66,46.9,3059.62,Month-to-month,Fiber optic,Credit card,No,No,1
49,Female,2,67.54,98.5,Two year,No,Mailed check,Yes,Yes,0
54,Female,35,83.43,2907.63,Month-to-month,Fiber optic,Credit card,No,Yes,1
29,Male,20,119.95,2327.77,Month-to-month,No,Bank transfer,No,Yes,0
66,Male,10,30.48,326.94,Two year,Fiber optic,Bank transfer,No,Yes,1
30,Male,25,69.86,1756.04,Month-to-month,DSL,Bank transfer,Yes,No,0
40,Male,66,58.51,3874.97,Month-to-month,No,Bank transfer,Yes,No,1
42,Female,25,106.58,2708.85,One year,Fiber optic,Electronic check,Yes,Yes,0
52,Male,54,67.6,3726.14,One year,DSL,Mailed check,No,No,0
58,Female,33,31.1,1008.11,One year,DSL,Bank transfer,No,Yes,0
47,Female,36,83.44,3027.71,Month-to-month,DSL,Credit card,Yes,Yes,0
34,Female,14,97.08,1373.77,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
66,Male,65,20.29,1337.73,Month-to-month,No,Mailed check,No,Yes,0
37,Male,54,105.9,5738.23,Month-to-month,No,Credit card,Yes,No,1
65,Male,52,38.6,2086.73,Two year,No,Credit card,No,Yes,1
42,Male,3,75.21,202.65,One year,DSL,Credit card,Yes,No,0
39,Female,41,61.58,2448.49,Month-to-month,DSL,Electronic check,No,Yes,1
30,Male,6,91.97,516.93,One year,DSL,Bank transfer,Yes,No,1
36,Male,25,57.12,1465.86,Month-to-month,No,Electronic check,Yes,Yes,0
66,Female,13,106.98,1391.91,Two year,DSL,Credit card,No,Yes,1
53,Male,8,93.05,721.02,Month-to-month,Fiber optic,Electronic check,No,No,1
29,Female,21,84.77,1726.35,Month-to-month,Fiber optic,Electronic check,No,Yes,1
58,Female,68,99.62,6785.22,One year,Fiber optic,Electronic check,Yes,No,0
36,Female,25,95.4,2417.23,One year,DSL,Bank transfer,No,No,0
29,Female,68,23.59,1619.41,One year,No,Credit card,No,Yes,1
26,Female,45,59.47,2663.48,Month-to-month,No,Credit card,Yes,Yes,0
24,Female,60,113.08,6792.13,Month-to-month,DSL,Bank transfer,No,Yes,1
45,Female,12,32.57,397.88,Month-to-month,Fiber optic,Electronic check,No,Yes,1
31,Female,32,93.71,3008.2,Month-to-month,No,Electronic check,No,No,1
48,Male,13,117.46,1467.76,Two year,DSL,Mailed check,Yes,Yes,0
69,Male,31,25.22,791.69,Month-to-month,Fiber optic,Mailed check,Yes,Yes,1
36,Male,20,88.22,1742.37,Month-to-month,DSL,Mailed check,Yes,Yes,1
64,Male,18,66.82,1254.79,One year,Fiber optic,Bank transfer,No,No,1
33,Female,60,77.92,4681.85,Month-to-month,DSL,Credit card,Yes,Yes,0
22,Male,63,28.53,1839.16,One year,Fiber optic,Mailed check,No,No,0
52,Female,6,24.3,130.71,Two year,DSL,Credit card,No,Yes,0
29,Male,32,86.69,2760.79,Month-to-month,Fiber optic,Credit card,No,No,0
42,Male,43,102.33,4474.9,Two year,No,Credit card,Yes,Yes,0
69,Male,2,98.2,218.22,One year,No,Bank transfer,Yes,Yes,0
38,Female,60,74.38,4427.07,Month-to-month,No,Bank transfer,No,No,1
53,Male,23,29.99,734.62,Month-to-month,Fiber optic,Bank transfer,No,Yes,1
40,Female,31,88.8,2726.13,Month-to-month,DSL,Bank transfer,Yes,Yes,0
33,Female,5,44.19,232.23,One year,DSL,Mailed check,Yes,Yes,0
56,Male,34,111.11,3869.57,One year,No,Electronic check,Yes,No,0
62,Male,10,103.83,966.74,Two year,DSL,Electronic check,No,Yes,1
59,Male,2,90.94,173.09,Two year,DSL,Electronic check,Yes,No,0
56,Female,11,114.88,1284.09,One year,Fiber optic,Mailed check,Yes,No,1
31,Male,50,23.14,1195.23,One year,DSL,Electronic check,Yes,No,0
48,Female,31,93.62,2840.16,Month-to-month,DSL,Mailed check,No,Yes,1
22,Female,56,53.02,2892.33,One year,No,Mailed check,Yes,No,0
52,Male,9,110.61,1050.03,Month-to-month,No,Mailed check,No,No,1
40,Male,21,46.67,944.05,One year,Fiber optic,Electronic check,No,Yes,0
46,Female,28,92.49,2551.61,Month-to-month,No,Credit card,No,No,1
60,Female,62,107.76,6758.63,Month-to-month,Fiber optic,Electronic check,Yes,No,1
28,Female,7,24.17,172.68,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
35,Male,16,59.76,959.97,Month-to-month,DSL,Bank transfer,Yes,Yes,1
64,Female,4,96.23,375.93,One year,DSL,Mailed check,No,No,0
29,Male,4,65.49,200.76,Month-to-month,Fiber optic,Credit card,Yes,Yes,1
26,Female,40,46.73,1902.98,One year,No,Bank transfer,No,Yes,0
27,Female,17,41.98,734.13,Month-to-month,Fiber optic,Credit card,Yes,Yes,1
61,Male,52,33.15,1732.23,One year,DSL,Credit card,Yes,No,0
34,Female,52,105.71,5491.1,Month-to-month,DSL,Mailed check,Yes,No,1
55,Male,36,77.54,2776.82,Month-to-month,No,Electronic check,Yes,Yes,1
24,Male,38,27.64,1095.94,One year,DSL,Mailed check,No,No,0
63,Female,50,58.26,2905.94,Month-to-month,Fiber optic,Mailed check,No,Yes,1
30,Male,63,56.77,3573.31,Month-to-month,DSL,Bank transfer,No,Yes,0
57,Male,63,38.17,2431.2,Month-to-month,DSL,Mailed check,No,Yes,1
59,Female,62,63.55,3950.5,Month-to-month,Fiber optic,Electronic check,Yes,Yes,0
26,Male,7,53.21,454.58,One year,Fiber optic,Credit card,No,Yes,0
67,Male,27,54.18,1374.79,Month-to-month,DSL,Mailed check,No,No,1
44,Male,14,93.9,1329.6,One year,DSL,Credit card,No,No,1
19,Female,71,42.33,2970.15,Two year,No,Mailed check,Yes,No,0
22,Male,5,84.19,373.85,Month-to-month,DSL,Credit card,No,No,1
46,Female,55,77.06,4215.45,Two year,Fiber optic,Mailed check,No,Yes,0
54,Female,2,76.81,156.35,One year,No,Bank transfer,Yes,Yes,0
55,Male,62,86.3,5355.55,One year,DSL,Credit card,Yes,No,1
36,Male,21,74.84,1495.77,One year,No,Mailed check,No,No,1
25,Male,21,107.93,2239.48,One year,DSL,Mailed check,No,Yes,1
65,Female,10,87.56,889.66,One year,Fiber optic,Bank transfer,Yes,Yes,0
62,Male,58,74.7,4288.75,Month-to-month,DSL,Bank transfer,No,Yes,1
18,Male,39,102.98,3960.48,Month-to-month,No,Bank transfer,Yes,No,0
